City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ushuaia,AR,56.86,clear sky,-54.8,-68.3,Albatross Hotel
2,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
3,Saint George,US,36.79,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
4,Dabhol,IN,75.33,few clouds,17.6,73.1667,Ashwamedh Resort
5,Tuktoyaktuk,CA,1.4,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
6,Butaritari,KI,79.56,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
7,Atuona,PF,77.86,clear sky,-9.8,-139.0333,Villa Enata
8,Petatlan,MX,76.8,few clouds,17.5167,-101.2667,Hotel California Petatlán
9,Vestmannaeyjar,IS,49.19,mist,63.4427,-20.2734,Glamping & Camping
10,Nome,US,23.07,clear sky,64.5011,-165.4064,Dredge 7 Inn
11,Mayo,US,48.11,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
13,Nagua,DO,82.45,scattered clouds,19.3832,-69.8474,Hotel Cambri
14,Roma,US,40.73,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
16,Rikitea,PF,74.52,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Carnarvon,AU,67.96,clear sky,-24.8667,113.6333,Hospitality Carnarvon
19,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
20,Mataura,NZ,43.27,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Punta Arenas,CL,59.11,clear sky,-53.15,-70.9167,Hotel Hain
22,Faanui,PF,71.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Skibbereen,IE,55.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
24,Hermanus,ZA,69.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
25,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
26,Hilo,US,69.24,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
27,Hokitika,NZ,53.22,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
28,Nikolskoye,RU,42.8,overcast clouds,59.7035,30.7861,Tourist House - Sablino
29,Vaini,TO,76.42,light rain,-21.2,-175.2,Keleti Beach Resort
30,Prince Rupert,CA,44.29,overcast clouds,54.3161,-130.3201,Crest Hotel
31,Sitka,US,48.09,moderate rain,57.0531,-135.33,Westmark Sitka
32,Kijang,KR,56.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
33,Benguela,AO,78.8,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
34,Castro,BR,80.44,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
35,Bluff,NZ,47.43,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
37,Ponta Do Sol,PT,78.71,broken clouds,32.6667,-17.1,Hotel do Campo
38,Hasaki,JP,63.0,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
39,Tasiilaq,GL,41.16,overcast clouds,65.6145,-37.6368,The Red House
40,Cidreira,BR,71.91,overcast clouds,-30.1811,-50.2056,Hotel Castelo
41,Greensburg,US,37.15,overcast clouds,40.3015,-79.5389,Courtyard by Marriott Pittsburgh Greensburg
42,Lake City,US,60.85,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
43,Bredasdorp,ZA,70.48,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
44,Juneau,US,42.22,snow,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
45,Brae,GB,52.72,scattered clouds,60.3964,-1.353,Busta House Hotel
47,Humaita,BR,97.21,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
48,Cape Town,ZA,72.91,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
49,Tigre,AR,81.05,light rain,-34.426,-58.5796,Puerto Delta Apartamentos
50,Surgut,RU,14.18,broken clouds,61.25,73.4167,Metelitsa
51,Kibre Mengist,ET,61.16,light rain,5.8833,38.9833,kal beauty salone adola
52,Venado Tuerto,AR,70.77,moderate rain,-33.7456,-61.9688,La Bianca.
54,Nenjiang,CN,23.11,light snow,49.1833,125.2167,Nenjiang Apartment
55,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Mount Gambier,AU,50.49,overcast clouds,-37.8333,140.7667,The Commodore
59,Kodiak,US,36.91,light rain,57.79,-152.4072,Best Western Kodiak Inn
60,Barrow,US,21.22,light snow,71.2906,-156.7887,King Eider Inn
61,Belmonte,BR,82.67,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
62,Arequipa,PE,68.07,clear sky,-16.3989,-71.535,Casa de Avila Hotel
63,Busselton,AU,52.43,clear sky,-33.65,115.3333,Observatory Guest House
64,Neuquen,AR,62.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
65,Eniwa,JP,42.66,broken clouds,42.8779,141.5442,Hotel SG
66,Ilulissat,GL,28.42,overcast clouds,69.2167,-51.1,Hotel Arctic
68,Rabo De Peixe,PT,66.27,broken clouds,37.8,-25.5833,Quinta das Giestas
69,Richards Bay,ZA,68.83,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
70,Norman Wells,CA,5.04,few clouds,65.282,-126.8329,Heritage Hotel
71,Giyani,ZA,79.86,scattered clouds,-23.3025,30.7187,Kulani Country Lodge
72,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
74,San Policarpo,PH,81.84,scattered clouds,12.1791,125.5072,Agapita M. Nicart
75,Lebu,CL,58.82,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
76,Lumberton,US,57.06,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
